https://www.youtube.com/watch?v=f84n5oFoZBc

正如我昨天所说，我换了 茎 
正如我昨天所说，我换了 茎 ,所以这是更哲学的
 如果我们能 找到一种方法 ， 那就 这样 吧 ,围绕一个问题，我们就像 喔 这 
围绕一个问题，我们就像 喔 这 , 很棒，也不是 很好 
 很棒，也不是 很好 , 排除我们 都有能力的问题 
 排除我们 都有能力的问题 ,中做得 非常能够做的 是不 
中做得 非常能够做的 是不 ,和解决它们一样，我们应该 这样做 
和解决它们一样，我们应该 这样做 , 尽力 支持 解决问题和 
 尽力 支持 解决问题和 ,我要说说 今天的事
我要说说 今天的事, 真的是那里有一堆 
 真的是那里有一堆 ,技术和
技术和,解决问题的技巧和第一 
解决问题的技巧和第一 ,一个是努力 
一个是努力 , 了解你正在 处理 的问题 
 了解你正在 处理 的问题 , 认识到它的确定 
 认识到它的确定 ,在某个地方， 谈论它是如此的问题 
在某个地方， 谈论它是如此的问题 , 解决绝对是我 认为的 一项技能 
 解决绝对是我 认为的 一项技能 ,你知道你不应该带走 
你知道你不应该带走 ,这个谈话， 你知道有一个 
这个谈话， 你知道有一个 ,某种善良的人 
某种善良的人 , 在 解决问题方面 ，他们可以做到 
 在 解决问题方面 ，他们可以做到 , 在这部分工作 ， 然后我们可以 
 在这部分工作 ， 然后我们可以 , 你可以练习这些其他的东西 
 你可以练习这些其他的东西 ,练习这一部分 
练习这一部分 , 波利亚写了这本惊人的书，叫做如何 
 波利亚写了这本惊人的书，叫做如何 , 在1945年解决它或其他什么 
 在1945年解决它或其他什么 , 是关于如何练习如何练习 
 是关于如何练习如何练习 , 什么是技术 
 什么是技术 , 在这种情况下抽泣数学问题
 在这种情况下抽泣数学问题,这是一本非常好的书 
这是一本非常好的书 ,洞察力，如果你从来没有读过它
洞察力，如果你从来没有读过它,在亚马逊之后我说话， 
在亚马逊之后我说话， ,为了自己， 我很 高兴 
为了自己， 我很 高兴 , 其中一件事并不那么棒 
 其中一件事并不那么棒 ,关于这本书，它 是在数学中 
关于这本书，它 是在数学中 ,空间正确，在那个空间， 这是 
空间正确，在那个空间， 这是 , 真的 好事发生在 
 真的 好事发生在 ,你做完了， 你认为你 有 
你做完了， 你认为你 有 , 如果你掌握了所有的技巧，请回答 
 如果你掌握了所有的技巧，请回答 ,数学证明，以确定你是否
数学证明，以确定你是否, 实际上有软件的地方 
 实际上有软件的地方 ,开发人员，你没有那个权利 
开发人员，你没有那个权利 ,没有办法证明你有 
没有办法证明你有 ,解决某人的电子商务网站 
解决某人的电子商务网站 , 问题就在那里没有数学 
 问题就在那里没有数学 ,技术而且也不会 是 
技术而且也不会 是 ,任何时候 我们都会这样做 
任何时候 我们都会这样做 , 这却是一种技能，它 是 
 这却是一种技能，它 是 , 你 可以练习 这个 
 你 可以练习 这个 ,你可以学到的东西和 
你可以学到的东西和 ,这是值得做的，因为作为人类 
这是值得做的，因为作为人类 ,众生， 我们擅长于我们的实践 
众生， 我们擅长于我们的实践 , 不管它是什么都没关系 
 不管它是什么都没关系 ,人们练习的惊人例子
人们练习的惊人例子,的事情，他们似乎 都 没有 
的事情，他们似乎 都 没有 ,潜在的希望变得擅长 和 
潜在的希望变得擅长 和 ,他们因为他们而 擅长 
他们因为他们而 擅长 ,如果你练习问题就练习它
如果你练习问题就练习它, 解决真正实践的问题 
 解决真正实践的问题 , 如果你， 解决你将会擅长 
 如果你， 解决你将会擅长 , 练习方法 X你会好起来的 
 练习方法 X你会好起来的 ,在那，我希望你问自己 
在那，我希望你问自己 ,你认为哪里有更多的 杠杆作用？ 
你认为哪里有更多的 杠杆作用？ , 我不在乎X 挑选任何X你 
 我不在乎X 挑选任何X你 , 你想要擅长它还是擅长？ 
 你想要擅长它还是擅长？ ,解决问题的一般技巧
那么如果我们要去，我们还需要做些什么
那么如果我们要去，我们还需要做些什么, 对解决 问题 的工作 是什么就是什么 
 对解决 问题 的工作 是什么就是什么 , 什么是第一个活动 
 什么是第一个活动 , 事实上是说我正在解决 
 事实上是说我正在解决 , 这个问题就是这个问题 
 这个问题就是这个问题 , bla bla bla bla因此 我 是一个 bla 
 bla bla bla bla因此 我 是一个 bla ,已经看到如此多的软件在没有 
已经看到如此多的软件在没有 ,曾经说过没有人 写过 
曾经说过没有人 写过 ,那个下来然后我们有整体 
那个下来然后我们有整体 ,系统，没有 人说什么问题 
系统，没有 人说什么问题 , 如果我们不解决，应该解决 
 如果我们不解决，应该解决 , 问题 我不知道为什么我们在 
 问题 我不知道为什么我们在 ,这个房间里，我们绝对应该 是 
这个房间里，我们绝对应该 是 ,努力解决问题 意味着什么 
努力解决问题 意味着什么 ,我们应该是 我们 应该列举的 
我们应该是 我们 应该列举的 ,然后从心理学的角度来看
然后从心理学的角度来看,我将在稍后讨论
我将在稍后讨论, 说出来 真的很重要 
 说出来 真的很重要 , 那个正在努力的人正好大声
 那个正在努力的人正好大声,解决问题说说有一个 
解决问题说说有一个 , 与你 小组中的 某个人 交谈 
 与你 小组中的 某个人 交谈 ,并说我们需要 解决这个问题 
并说我们需要 解决这个问题 , 问题是你知道咆哮或 
 问题是你知道咆哮或 ,说话，你有 一点谈话 
说话，你有 一点谈话 , 或写 下来， 但就像你使用 
 或写 下来， 但就像你使用 ,你知道重复的做法
你知道重复的做法,某人的名字或将他们介绍为 
某人的名字或将他们介绍为 , 助记 你帮助你 记住他们的名字 
 助记 你帮助你 记住他们的名字 , 这是 同样的事情，这是 种子 
 这是 同样的事情，这是 种子 ,解决这个问题就是这样说的
解决这个问题就是这样说的, 未来 这 绝对是 下 一部分 
 未来 这 绝对是 下 一部分 , 触发和Polly的书是伟大的 ， 
 触发和Polly的书是伟大的 ， ,它有很多实用的 东西 
它有很多实用的 东西 ,其中许多与他所说的重叠 
其中许多与他所说的重叠 ,是理解问题的权利 等等等等 
是理解问题的权利 等等等等 ,我们说我们认为我们有这个问题 
我们说我们认为我们有这个问题 ,那里需要一个没有单一的数据库
那里需要一个没有单一的数据库, 缺少的东西 
我们有这个问题我们需要一个单一的 
我们有这个问题我们需要一个单一的 , 我们实际上没有说过赎金的日子
 我们实际上没有说过赎金的日子,你知道为什么是这样的 
你知道为什么是这样的 , 引导 这个问题的特点 
 引导 这个问题的特点 ,我们这个解决方案空间和这个 
我们这个解决方案空间和这个 , 是我 所有有趣的工作 
 是我 所有有趣的工作 , 在软件开发中思考权利 
 在软件开发中思考权利 ,所以第一步是你知道什么 
所以第一步是你知道什么 ,关于你想要做 什么的 
关于你想要做 什么的 ,绝对会是一堆 事实 
绝对会是一堆 事实 ,会有客户要求
会有客户要求, 他们 会有其他的 东西 
 他们 会有其他的 东西 ,联系盗取系统 上 运行 此 
联系盗取系统 上 运行 此 , 这种 箱子已经为 这个长时间 运行 
 这种 箱子已经为 这个长时间 运行 ,可以消耗比这更多更多 
可以消耗比这更多更多 ,瓦特或不得不支持超过1000万 
瓦特或不得不支持超过1000万 , 用户无论那 是 什么 
 用户无论那 是 什么 , 所有这些事情和约束
 所有这些事情和约束, 你知道 什么的东西或事实 
 你知道 什么的东西或事实 ,你应该做的正确的 将有 
你应该做的正确的 将有 ,是你知道你的事情
是你知道你的事情,不知道对不对我想知道我们在哪里 
不知道对不对我想知道我们在哪里 ,要得到你知道的推理 
要得到你知道的推理 ,数据作为这件事的输入是什么 
数据作为这件事的输入是什么 ,我们将在我们的主要数据时做
我们将在我们的主要数据时做, 源字是不可 做的 我们 
 源字是不可 做的 我们 ,有一个次要的东西就会有 
有一个次要的东西就会有 , 那样 的话，当然 会有 
 那样 的话，当然 会有 , 你不知道或不知道的事情 
 你不知道或不知道的事情 ,我很清楚这是公平的，但如果有的话 
我很清楚这是公平的，但如果有的话 , 你不知道的事情
你现在应该考虑一下
你现在应该考虑一下,其他要做的就是说每个人 
其他要做的就是说每个人 ,说做X 我有这个好主意 
说做X 我有这个好主意 , X 如果你知道你是 唯一 
 X 如果你知道你是 唯一 , 人 在世界上曾经有过这 
 人 在世界上曾经有过这 , 问题 自我 ，这是非常不可能的 
 问题 自我 ，这是非常不可能的 , 所以去找一些 其他解决方案 
 所以去找一些 其他解决方案 , 您知道的类似问题是否有 任何问题 
 您知道的类似问题是否有 任何问题 , 你知道的其他人， 可以做什么 
 你知道的其他人， 可以做什么 , 因为看， 你能 发现 它们 
 因为看， 你能 发现 它们 ,在其他解决方案中同样的 问题是 
在其他解决方案中同样的 问题是 , 加快速度的第一种方法
 加快速度的第一种方法, 真的很快， 并开始提前工作 
 真的很快， 并开始提前工作 ,你知道最着名的解决方案吗？ 
你知道最着名的解决方案吗？ ,这个空间， 然后因为你会 
这个空间， 然后因为你会 ,必须这样做只会是一个 
必须这样做只会是一个 , 最后一个人 上面的 增量步骤 
 最后一个人 上面的 增量步骤 , 但是，如果你忽略了最后一个 
 但是，如果你忽略了最后一个 , 小伙做你从头开始 ，从而 
 小伙做你从头开始 ，从而 ,你一定 要看看 周围 的 
你一定 要看看 周围 的 , 现在这个空间我不是 
 现在这个空间我不是 , 提倡方法论或其他任何东西 
 提倡方法论或其他任何东西 ,如果你打算做这一切 
如果你打算做这一切 ,工作你应该以某种方式写下来 
工作你应该以某种方式写下来 , 某种 方式 我不关心对方 
 某种 方式 我不关心对方 ,你必须做的就是你 必须 做的事情
你必须做的就是你 必须 做的事情,辨别你必须是谁 
辨别你必须是谁 ,很关键，我们正处于这种状态 
很关键，我们正处于这种状态 , 世界因为这个 威利斯社区 
 世界因为这个 威利斯社区 ,东西， 就像我 听到真棒 
东西， 就像我 听到真棒 , 我听到 的就像是 很棒的 快乐 
 我听到 的就像是 很棒的 快乐 ,一天50次， 不是一切 
一天50次， 不是一切 , 太棒 了，所以很难 
 太棒 了，所以很难 ,谈论别人的东西不是 
谈论别人的东西不是 ,真棒， 所以我的意思主要是 
真棒， 所以我的意思主要是 , 特别关注你自己的东西 
 特别关注你自己的东西 ,你找到解决办法，我应该试着
你找到解决办法，我应该试着,你知道列举一个解决方案
你知道列举一个解决方案, 问题寻找你自己的缺陷 
 问题寻找你自己的缺陷 ,解决方案，当然你有一个整体
解决方案，当然你有一个整体,谈到这一点，因为会有 
谈到这一点，因为会有 ,那里会有技术错误 
那里会有技术错误 , 他们也将是逻辑上的错误
 他们也将是逻辑上的错误,品味和判断力的错误
品味和判断力的错误,抽象和所有这些 
抽象和所有这些 , 事情 一切送入 这一点， 
 事情 一切送入 这一点， ,整个谈话在这个领域但是 
整个谈话在这个领域但是 ,你可以在 自己 找到的任何问题
你可以在 自己 找到的任何问题,解决方案试图解决这两个问题 
解决方案试图解决这两个问题 , 如果您已添加 ，请提前离开
 如果您已添加 ，请提前离开, 你看到的另一件事是我们 要做的 
 你看到的另一件事是我们 要做的 , 哦， 他正在使用Ossie Davis哦 
 哦， 他正在使用Ossie Davis哦 ,很棒， 它有这些Co 10属性 
很棒， 它有这些Co 10属性 ,真棒， 很容易 激动 
真棒， 很容易 激动 ,关于你所做 的好事 ， 但是 
关于你所做 的好事 ， 但是 , 你应该寻找 权衡利弊 
 你应该寻找 权衡利弊 , 没有权衡取舍的可能性
 没有权衡取舍的可能性,任何解决方案都是苗条的另一件事 
任何解决方案都是苗条的另一件事 ,只是这个，这不是什么不是你 
只是这个，这不是什么不是你 ,知道如果有你知道的东西 
知道如果有你知道的东西 , 你不知道有什么问题 
 你不知道有什么问题 ,应该问，以便找出答案
应该问，以便找出答案,什么你不知道你 不 知道 
什么你不知道你 不 知道 , 一切都 应该有问题 
 一切都 应该有问题 ,在你想要的任何东西上留下痕迹
在你想要的任何东西上留下痕迹, 使用你 要写的所有这些 
 使用你 要写的所有这些 , 那里的东西应该有问题 
 那里的东西应该有问题 ,如果没有，则在该页面上标记
如果没有，则在该页面上标记,问号你错过 了这个步骤 
另一件事是考虑无 
另一件事是考虑无 , 我们天生就 知道怎么写 
 我们天生就 知道怎么写 ,软件我们都不 知道 
软件我们都不 知道 , 关于续集或 特征 
 关于续集或 特征 ,网络或协议或任何东西 
网络或协议或任何东西 , 其他 
 其他 ,如果你想解决 这个问题 
如果你想解决 这个问题 , 尤其是在你所处空间的问题 
 尤其是在你所处空间的问题 , 在你去之前没有做过 
 在你去之前没有做过 , 提出一个非常有限的 能力 
 提出一个非常有限的 能力 , 解决方案 ，如果 你没有很多 的 
 解决方案 ，如果 你没有很多 的 ,输入你需要得到很多 
输入你需要得到很多 , 不同 的 输入，这样就可以让 
 不同 的 输入，这样就可以让 ,你的大脑四处它们之间 
你的大脑四处它们之间 ,说哦，是的，这个想法和那个想法是 
说哦，是的，这个想法和那个想法是 , 相互联系， 因此我 
 相互联系， 因此我 ,可以做其他事情
可以做其他事情,如果你只采取一个非常狭窄的切片 
如果你只采取一个非常狭窄的切片 , 我看到我在做什么 的权利 
 我看到我在做什么 的权利 ,现在正确 的第二个提供下一个 
现在正确 的第二个提供下一个 , 一周 你不会 有足够的 
 一周 你不会 有足够的 ,输入， 以便 您做出决定 
输入， 以便 您做出决定 ,了解你的空间类型 
了解你的空间类型 ,在很大程度上 非常具体 
在很大程度上 非常具体 , 与我们其他 人试图做的 正是 
 与我们其他 人试图做的 正是 , 同样的事情然后广泛地存在 
 同样的事情然后广泛地存在 ,其他特征问题也许 
其他特征问题也许 ,即使你想去尝试寻找研究 
即使你想去尝试寻找研究 ,论文在同是种 
论文在同是种 ,太空了你很酷的东西
太空了你很酷的东西, 可以 通过 搜索 类似ACM的内容 找到 
 可以 通过 搜索 类似ACM的内容 找到 , 关于 它的 类型的4篇论文 
 关于 它的 类型的4篇论文 ,我们可以得到某 一种散列码 
我们可以得到某 一种散列码 ,无论你 进入谷歌做什么
无论你 进入谷歌做什么,输入任何输入的类型哈希码
输入任何输入的类型哈希码,如果有一些学术和ACM 
如果有一些学术和ACM , 即使 你， 也会抓住那些论文
 即使 你， 也会抓住那些论文,只有理解像的一小部分
只有理解像的一小部分,这篇论文可能 有助于 
这篇论文可能 有助于 , 你思考 问题的 能力 
 你思考 问题的 能力 , 即使你不是，另一件事就是 
 即使你不是，另一件事就是 , 你什么时候告诉另一个人 
 你什么时候告诉另一个人 ,在寻找其他的解决方案是 非常 
在寻找其他的解决方案是 非常 ,关键我不能 经常 告诉你 
关键我不能 经常 告诉你 ,你会找到下一个 最好的主意 
你会找到下一个 最好的主意 ,通过完全钉死最后一个人的 
通过完全钉死最后一个人的 ,想法至少在 自己的脑袋没事 
想法至少在 自己的脑袋没事 , 把它分开 是因为当你 
 把它分开 是因为当你 ,把它分开你会找到一个 
把它分开你会找到一个 , 他们可能没有写过几件事情 
 他们可能没有写过几件事情 , 下来 的时候他们在做这么 
 每个人都说有 关于 权衡的 设计 
 每个人都说有 关于 权衡的 设计 , 大家都知道这一点 
但通常想 谈谈 
但通常想 谈谈 , 他们软件中的权衡让我们谈谈 
 他们软件中的权衡让我们谈谈 , 关于 他们软件 的部分 
 关于 他们软件 的部分 , 我不得不做出这些权衡 
 我不得不做出这些权衡 ,这不是一个权衡你的权利 
这不是一个权衡你的权利 , 必须要考虑 至少 两种解决方案 
 必须要考虑 至少 两种解决方案 ,对你的问题至少有两个和你 
对你的问题至少有两个和你 , 必须弄清楚 什么是好的和坏的 
 必须弄清楚 什么是好的和坏的 , 在你能做之前就把这些事情 做好 
 在你能做之前就把这些事情 做好 ,说我做了一个权衡， 所以我真的 
说我做了一个权衡， 所以我真的 ,建议你 这样做，当你 
建议你 这样做，当你 ,做到这一点，你可能想要 写下来 
做到这一点，你可能想要 写下来 ,在某个地方好吧让我们谈一点 
在某个地方好吧让我们谈一点 , 更多关于练习很大一部分 
 更多关于练习很大一部分 ,试图做这项工作是维持 
试图做这项工作是维持 , 你的重点我们有一个非常好的谈话 
 你的重点我们有一个非常好的谈话 ,昨天关于流动，那是一个 
昨天关于流动，那是一个 ,一种与焦点相关的概念和何时 
一种与焦点相关的概念和何时 ,你正在试图做设计工作 也 
你正在试图做设计工作 也 ,需要我认为一些最极端的 
需要我认为一些最极端的 ,专注于你将永远需要等等 
专注于你将永远需要等等 , 破坏了一些很酷的方面 
 破坏了一些很酷的方面 , 吊床的一个很酷的方面 
 吊床的一个很酷的方面 ,你可以去吊床上，你可以 
你可以去吊床上，你可以 , 闭上眼睛，没有人知道 
 闭上眼睛，没有人知道 ,你不是在睡觉， 但他们不会 
你不是在睡觉， 但他们不会 ,打扰你，因为他们认为你可能 
打扰你，因为他们认为你可能 , 睡觉所以这很酷 
 睡觉所以这很酷 , 电脑是糟糕的坏消息来源 
 电脑是糟糕的坏消息来源 ,分心他们特别糟糕 
分心他们特别糟糕 , 对于像我们这样的人来说 
 对于像我们这样的人来说 , 除了我想要考虑的事情 
 除了我想要考虑的事情 , 你迫切 需要 摆脱 
 你迫切 需要 摆脱 , 计算机， 如果你想 集中注意力 
 计算机， 如果你想 集中注意力 , 这几乎不可能集中注意力 
 这几乎不可能集中注意力 , 坐在电脑前 的另一件事 
 坐在电脑前 的另一件事 ,重点是你将 成为 
重点是你将 成为 , 当你试图集中注意力时做出权衡 
 当你试图集中注意力时做出权衡 , 真的很强烈你的枪丢球 
 真的很强烈你的枪丢球 ,你会想念那些回电话的人
你会想念那些回电话的人, 并回复 电子邮件和 做你的 
 并回复 电子邮件和 做你的 ,会议和幻灯片
会议和幻灯片,机场一路都有东西 
机场一路都有东西 ,就像那只是游戏那一个 
就像那只是游戏那一个 ,但事情是，你应该 
但事情是，你应该 , 与你关心的人沟通
 与你关心的人沟通, 关于 这个过程 和事实 
 关于 这个过程 和事实 , 当你这样做的时候你就要去了 
 当你这样做的时候你就要去了 , 看起来很遥远 ， 那不是一个 
 看起来很遥远 ， 那不是一个 ,评论你是谁 
评论你是谁 , 知道你关心 它只是 
 知道你关心 它只是 , 做这种 工作的本质就是 如此 
 做这种 工作的本质就是 如此 ,重要的是那种做了很多 的 
重要的是那种做了很多 的 ,人们没有时间去做这一切 
人们没有时间去做这一切 , 每天 或每天的过程 
 每天 或每天的过程 ,整个星期或如果你要去 
整个星期或如果你要去 ,一些关注 时间你定义的是什么 
一些关注 时间你定义的是什么 ,你知道每个人都知道 超时 
你知道每个人都知道 超时 , 小孩子和什么节目的时间 
 小孩子和什么节目的时间 , 这不是重点我喜欢看孩子我 
 这不是重点我喜欢看孩子我 ,需要坐在吊床上 才能拥有 
需要坐在吊床上 才能拥有 ,没有人打扰他们 
所以对我个人而言， 我认为那样 
所以对我个人而言， 我认为那样 ,这个过程涉及到你的 两个部分 
这个过程涉及到你的 两个部分 ,心灵， 这 就是 你的 东西 
心灵， 这 就是 你的 东西 , 看到 那些关于这个的书 
 看到 那些关于这个的书 , 无论我没看过它们， 但是 
 无论我没看过它们， 但是 ,它们似乎与 我的个人 相符 
它们似乎与 我的个人 相符 ,经验就是你的经历
经验就是你的经历, 有这个醒来的线和背景 
 有这个醒来的线和背景 , 线，你醒来的心 真的 
 线，你醒来的心 真的 ,擅长那个批评它的部分 
擅长那个批评它的部分 ,非常分析，非常非常
非常分析，非常非常, 现在我们需要擅长战术 
 现在我们需要擅长战术 , 做出决定 ，你知道 狮子是 
 做出决定 ，你知道 狮子是 ,追逐我们向左跳，我们真的 
追逐我们向左跳，我们真的 ,擅长那就是我们 清醒的心灵 
擅长那就是我们 清醒的心灵 ,是关于让我们活着 和制造 
是关于让我们活着 和制造 , 短期决策 和看待 
 短期决策 和看待 , 立即 飞跃现在的信息和 
 立即 飞跃现在的信息和 ,做一些事情 但是如果你 
做一些事情 但是如果你 , 以为你会坐下来 看看 
 以为你会坐下来 看看 , 在第一次出现问题时 
 在第一次出现问题时 ,盯着你的电脑做任何事
盯着你的电脑做任何事,并进行了 10分钟 的 对话 
并进行了 10分钟 的 对话 , 并做出一个非常好的决定 我不这样做 
 并做出一个非常好的决定 我不这样做 , 也这样觉得 
 也这样觉得 ,我知道我绝对不能这样做
我知道我绝对不能这样做,这种事情的问题是 
这种事情的问题是 ,它倾向于推高我看到的人 
它倾向于推高我看到的人 ,电影总是好的，我有一个 
电影总是好的，我有一个 ,左右选择还好吧 
左右选择还好吧 ,这更左右是正确的 
这更左右是正确的 , 他们离开了更多的东西 
 他们离开了更多的东西 ,这部分你的想法是真的 
这部分你的想法是真的 ,善于找到 当地的最大值但是 
善于找到 当地的最大值但是 ,它不是很好并且离开了 
它不是很好并且离开了 ,跟踪它并发现事实 
跟踪它并发现事实 , 那边还有另一座小山 
 那边还有另一座小山 ,真的会让你更高
真的会让你更高,但这是一个非常非常可打印的版本
但这是一个非常非常可打印的版本,你必须参与的活动 我 
你必须参与的活动 我 , 想想如果你想 用 你的全部 
 想想如果你想 用 你的全部 ,大脑并变得非常擅长 
大脑并变得非常擅长 , 解决问题，那就是思考 
 解决问题，那就是思考 , 关于 使用您的清醒时间来分配 
 关于 使用您的清醒时间来分配 ,任务到你的 后台 行 
任务到你的 后台 行 ,实际上认真思考一些事情 
实际上认真思考一些事情 ,为您的 背景线创建工作
为您的 背景线创建工作,这真的是吊床的重点 
这真的是吊床的重点 , 以及所有这些列表以及我们所有这些 
 以及所有这些列表以及我们所有这些 ,要谈谈你要做的事 
要谈谈你要做的事 ,当你醒实际上 是给 
当你醒实际上 是给 , 另外一半你要做的事情 
 另外一半你要做的事情 , 关于你清醒头脑的其他好处 
 关于你清醒头脑的其他好处 ,就是当你认为自己拥有的时候 
就是当你认为自己拥有的时候 , 很有想法 ，你想出 了你的 
 很有想法 ，你想出 了你的 , 背景线你醒来的线是好的 
 背景线你醒来的线是好的 ,在挑选另一部分说你 
在挑选另一部分说你 , 知道你以为你这个醒来 
 知道你以为你这个醒来 ,很棒的想法，但现在我看到了这一点 
很棒的想法，但现在我看到了这一点 ,这种特征似乎并非 如此 
这种特征似乎并非 如此 ,亮
亮,让我们来谈谈背景线 
让我们来谈谈背景线 ,我不会直接 把它等同起来 
我不会直接 把它等同起来 , 沉睡的心灵，但睡觉的线条 
 沉睡的心灵，但睡觉的线条 ,是a的数目一个实例
是a的数目一个实例,背景介意你可以找到访问权限 
背景介意你可以找到访问权限 , 白天 你的包装 在线 
 白天 你的包装 在线 , 你是清醒的，但它很棘手，这很好 
 你是清醒的，但它很棘手，这很好 ,正确地建立联系
正确地建立联系, 如果我离开 我，如果我做一个小屋的事情
 如果我离开 我，如果我做一个小屋的事情, 泥泞，下雨很难 
 泥泞，下雨很难 ,解体不一定 是 那种 
解体不一定 是 那种 , 你可以战术化的事情 
 你可以战术化的事情 , 你或你的背景 思想正在进行中 
 你或你的背景 思想正在进行中 , 了解 所有这些方面 
 了解 所有这些方面 , 制作的 不同 组件 
 制作的 不同 组件 ,连接并合成它们甚至 
连接并合成它们甚至 ,当你觉得自己 很热的时候 
当你觉得自己 很热的时候 , 在 你 飞决策
 在 你 飞决策,几乎总是只是反刍 
几乎总是只是反刍 , 你的背景可能有的东西
 你的背景可能有的东西,已经弄明白了 背景 
已经弄明白了 背景 , 光善于合成事物 
 光善于合成事物 , 这是关于战略的好消息 
 这是关于战略的好消息 ,是的，所以当马克谈到新的时候 
是的，所以当马克谈到新的时候 ,抽象类的东西 
抽象类的东西 , 抽象是我们的软件策略 
 抽象是我们的软件策略 ,是的，因为有你的想法
是的，因为有你的想法, 做出一些超级 全球决定 
 做出一些超级 全球决定 , 需要 纠正一个整体 
